1386136759 :: Finding faces
1386136781 :: Program started
1386136782 :: Finding features
1386136782 :: Finding faces
1386136782 :: Finding Eyes
1386136888 :: Program started
1386136888 :: Finding features
1386136888 :: Finding faces
1386136888 :: Finding Eyes
1386136966 :: Finished finding features
1386136972 :: Finding features
1386136972 :: Finding faces
1386136972 :: Finding Eyes
1386137008 :: Finished finding features
1386137022 :: Finding features
1386137022 :: Finding faces
1386137022 :: Finding Eyes
1386137344 :: Program started
1386137344 :: Finding features
1386137344 :: Finding faces
1386137344 :: Finding Eyes
1386137344 :: Finished finding features
1386137345 :: Finding features
1386137345 :: Finding faces
1386137345 :: Finding Eyes
1386137345 :: Finished finding features
1386137345 :: Finding features
1386137345 :: Finding faces
1386137345 :: Finding Eyes
1386137345 :: Finished finding features
1386137345 :: Finding features
1386137345 :: Finding faces
1386137345 :: Finding Eyes
1386137345 :: Finished finding features
1386137345 :: Finding features
1386137345 :: Finding faces
1386137345 :: Finding Eyes
1386137346 :: Finished finding features
1386137346 :: Finding features
1386137346 :: Finding faces
1386137346 :: Finding Eyes
1386137346 :: Finished finding features
1386137346 :: Finding features
1386137346 :: Finding faces
1386137346 :: Finding Eyes
1386137346 :: Finished finding features
1386137346 :: Finding features
1386137346 :: Finding faces
1386137346 :: Finding Eyes
1386137346 :: Finished finding features
1386137346 :: Finding features
1386137346 :: Finding faces
1386137346 :: Finding Eyes
1386137346 :: Finished finding features
1386137346 :: Finding features
1386137346 :: Finding faces
1386137346 :: Finding Eyes
1386137347 :: Finished finding features
1386137347 :: Finding features
1386137347 :: Finding faces
1386137347 :: Finding Eyes
1386137347 :: Finished finding features
1386137347 :: Finding features
1386137347 :: Finding faces
1386137347 :: Finding Eyes
1386137347 :: Finished finding features
1386137347 :: Finding features
1386137347 :: Finding faces
1386137347 :: Finding Eyes
1386137347 :: Finished finding features
1386137347 :: Finding features
1386137347 :: Finding faces
1386137347 :: Finding Eyes
1386137347 :: Finished finding features
1386137348 :: Finding features
1386137348 :: Finding faces
1386137348 :: Finding Eyes
1386137348 :: Finished finding features
1386137348 :: Finding features
1386137348 :: Finding faces
1386137348 :: Finding Eyes
1386137348 :: Finished finding features
1386137348 :: Finding features
1386137348 :: Finding faces
1386137348 :: Finding Eyes
1386137348 :: Finished finding features
1386137348 :: Finding features
1386137348 :: Finding faces
1386137348 :: Finding Eyes
1386137348 :: Finished finding features
1386137348 :: Finding features
1386137348 :: Finding faces
1386137348 :: Finding Eyes
1386137349 :: Finished finding features
1386137349 :: Finding features
1386137349 :: Finding faces
1386137349 :: Finding Eyes
1386137349 :: Finished finding features
1386137349 :: Finding features
1386137349 :: Finding faces
1386137349 :: Finding Eyes
1386137349 :: Finished finding features
1386137349 :: Finding features
1386137349 :: Finding faces
1386137349 :: Finding Eyes
1386137349 :: Finished finding features
1386137349 :: Finding features
1386137349 :: Finding faces
1386137349 :: Finding Eyes
1386137349 :: Finished finding features
1386137349 :: Finding features
1386137349 :: Finding faces
1386137349 :: Finding Eyes
1386137350 :: Finished finding features
1386137350 :: Finding features
1386137350 :: Finding faces
1386137350 :: Finding Eyes
1386137350 :: Finished finding features
1386137350 :: Finding features
1386137350 :: Finding faces
1386137350 :: Finding Eyes
1386137350 :: Finished finding features
1386137350 :: Finding features
1386137350 :: Finding faces
1386137350 :: Finding Eyes
1386137350 :: Finished finding features
1386137350 :: Finding features
1386137350 :: Finding faces
1386137350 :: Finding Eyes
1386137350 :: Finished finding features
1386137350 :: Finding features
1386137350 :: Finding faces
1386137350 :: Finding Eyes
1386137350 :: Finished finding features
1386137351 :: Finding features
1386137351 :: Finding faces
1386137351 :: Finding Eyes
1386137351 :: Finished finding features
1386137351 :: Finding features
1386137351 :: Finding faces
1386137351 :: Finding Eyes
1386137351 :: Unknown exception
1386137351 :: Finding features
1386137351 :: Finding faces
1386137351 :: Finding Eyes
1386137351 :: Finished finding features
1386137351 :: Finding features
1386137351 :: Finding faces
1386137351 :: Finding Eyes
1386137351 :: Finished finding features
1386137351 :: Finding features
1386137351 :: Finding faces
1386137351 :: Finding Eyes
1386137351 :: Finished finding features
1386137352 :: Finding features
1386137352 :: Finding faces
1386137352 :: Finding Eyes
1386137352 :: Finished finding features
1386137352 :: Finding features
1386137352 :: Finding faces
1386137352 :: Finding Eyes
1386137352 :: Finished finding features
1386137352 :: Finding features
1386137352 :: Finding faces
1386137352 :: Finding Eyes
1386137352 :: Finished finding features
1386137352 :: Finding features
1386137352 :: Finding faces
1386137352 :: Finding Eyes
1386137352 :: Finished finding features
1386137352 :: Finding features
1386137352 :: Finding faces
1386137352 :: Finding Eyes
1386137352 :: Finished finding features
1386137353 :: Finding features
1386137353 :: Finding faces
1386137353 :: Finding Eyes
1386137353 :: Finished finding features
1386137353 :: Finding features
1386137353 :: Finding faces
1386137353 :: Finding Eyes
1386137353 :: Finished finding features
1386137353 :: Finding features
1386137353 :: Finding faces
1386137353 :: Finding Eyes
1386137353 :: Finished finding features
1386137353 :: Finding features
1386137353 :: Finding faces
1386137353 :: Finding Eyes
1386137353 :: Finished finding features
1386137353 :: Finding features
1386137353 :: Finding faces
1386137353 :: Finding Eyes
1386137354 :: Finished finding features
1386137354 :: Finding features
1386137354 :: Finding faces
1386137354 :: Finding Eyes
1386137354 :: Finished finding features
1386137354 :: Finding features
1386137354 :: Finding faces
1386137354 :: Finding Eyes
1386137354 :: Finished finding features
1386137354 :: Finding features
1386137354 :: Finding faces
1386137354 :: Finding Eyes
1386137354 :: Finished finding features
1386137354 :: Finding features
1386137354 :: Finding faces
1386137354 :: Finding Eyes
1386137354 :: Finished finding features
1386137355 :: Finding features
1386137355 :: Finding faces
1386137355 :: Finding Eyes
1386137355 :: Finished finding features
1386137355 :: Finding features
1386137355 :: Finding faces
1386137355 :: Finding Eyes
1386137355 :: Finished finding features
1386137355 :: Finding features
1386137355 :: Finding faces
1386137355 :: Finding Eyes
1386137355 :: Finished finding features
1386137355 :: Finding features
1386137355 :: Finding faces
1386137355 :: Finding Eyes
1386137355 :: Finished finding features
1386137355 :: Finding features
1386137355 :: Finding faces
1386137355 :: Finding Eyes
1386137355 :: Finished finding features
1386137355 :: Finding features
1386137355 :: Finding faces
1386137355 :: Finding Eyes
1386137355 :: Finished finding features
1386137356 :: Finding features
1386137356 :: Finding faces
1386137356 :: Finding Eyes
1386137356 :: Finished finding features
1386137356 :: Finding features
1386137356 :: Finding faces
